0.000000 0.010101
0.000000 0.010101 0
0.010101 0.020202 0
0.020202 0.030303 0
0.030303 0.040404 0
0.040404 0.050505 1
0.050505 0.060606 0
0.060606 0.070707 0
0.070707 0.080808 0
0.080808 0.090909 0
0.090909 0.101010 0
0.101010 0.111111 0
0.111111 0.121212 1
0.121212 0.131313 0
0.131313 0.141414 1
0.141414 0.151515 0
0.151515 0.161616 0
0.161616 0.171717 1
0.171717 0.181818 0
0.181818 0.191919 0
0.191919 0.202020 1
0.202020 0.212121 4
0.212121 0.222222 0
0.222222 0.232323 1
0.232323 0.242424 2
0.242424 0.252525 1
0.252525 0.262626 1
0.262626 0.272727 1
0.272727 0.282828 2
0.282828 0.292929 3
0.292929 0.303030 1
0.303030 0.313131 2
0.313131 0.323232 0
0.323232 0.333333 2
0.333333 0.343434 5
0.343434 0.353535 5
0.353535 0.363636 1
0.363636 0.373737 4
0.373737 0.383838 3
0.383838 0.393939 1
0.393939 0.404040 0
0.404040 0.414141 5
0.414141 0.424242 2
0.424242 0.434343 0
0.434343 0.444444 1
0.444444 0.454545 2
0.454545 0.464646 2
0.464646 0.474747 6
0.474747 0.484848 0
0.484848 0.494949 1
0.494949 0.505050 2
0.505050 0.515151 1
0.515151 0.525252 1
0.525252 0.535353 1
0.535353 0.545454 5
0.545454 0.555555 3
0.555555 0.565656 1
0.565656 0.575757 1
0.575757 0.585858 2
0.585858 0.595959 3
0.595959 0.606060 2
0.606060 0.616161 2
0.616161 0.626262 0
0.626262 0.636363 0
0.636363 0.646464 1
0.646464 0.656565 1
0.656565 0.666666 1
0.666666 0.676767 0
0.676767 0.686868 1
0.686868 0.696969 2
0.696969 0.707070 0
0.707070 0.717171 0
0.717171 0.727272 0
0.727272 0.737373 0
0.737373 0.747474 1
0.747474 0.757575 0
0.757575 0.767676 1
0.767676 0.777777 0
0.777777 0.787878 0
0.787878 0.797979 0
0.797979 0.808080 0
0.808080 0.818181 0
0.818181 0.828282 1
0.828282 0.838383 0
0.838383 0.848484 2
0.848484 0.858585 0
0.858585 0.868686 1
0.868686 0.878787 1
0.878787 0.888888 0
0.888888 0.898989 0
0.898989 0.909090 0
0.909090 0.919191 0
0.919191 0.929292 0
0.929292 0.939393 0
0.939393 0.949494 0
0.949494 0.959595 0
0.959595 0.969696 0
0.969696 0.979797 0
0.979797 0.989898 0
0.989898 0.999999 0
0.999999 1.010100 0
